OBJECTID,county,trust_name,lease_status,lessee,township,range,section,aliquot,acres,trs - Copy
144875,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,12E,4,LOTS 1 THRU 4 S2N2 S2,637.92,19N - 12E - 4
144876,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,12E,6,LOTS 1 THRU 7 S2NE SENW E2SW SE,630.04,19N - 12E - 6
144877,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,6,LOT 1 THRU 4 E2W2 E2,703.43,19N - 11E - 6
144878,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,4,ALL,640,19N - 11E - 4
144879,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,18,LOT 1,52.17,19N - 11E - 18
144880,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"Bar T Bar Ranch, Inc.",19N,14E,18,ALL,640,19N - 14E - 18
144884,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,12E,8,ALL,640,19N - 12E - 8
144885,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,12E,10,ALL,640,19N - 12E - 10
144887,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,8,ALL,640,19N - 11E - 8
144888,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,12,W2W2,160,19N - 11E - 12
144889,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,14E,20,ALL,640,19N - 14E - 20
144894,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,14E,22,ALL,640,19N - 14E - 22
144896,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,14,ALL,640,19N - 11E - 14
144898,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,30,LOTS 1 THRU 4 E2W2 E2,632.16,20N - 12E - 30
144899,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,26,ALL,640,20N - 12E - 26
144901,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,30,LOTS 1 THRU 4 E2W2 E2,710.45,20N - 11E - 30
144902,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,28,ALL,640,20N - 11E - 28
144903,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,26,ALL,640,20N - 11E - 26
144905,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,10E,26,ALL,640,20N - 10E - 26
144909,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,6,LOTS 1 THRU 4 S2N2 S2,674.56,18N - 14E - 6
144910,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,4,LOTS 1 THRU 4 S2N2 S2,675.16,18N - 14E - 4
144919,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,10,ALL,640,18N - 14E - 10
