state,managing_agency,rights_type,state_enabling_act,OBJECTID,TRACTID,county,township,range,section,aliquot,TRUST,,trust_name,net_acres,acres,lease_status,lessee
ND,Commissioner of University and School Lands,Subsurface,"456 Stat. 676-684, esp. 679-81 (1889)",126945,2810941,MCLEAN,149,88,6,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"457 Stat. 676-684, esp. 679-81 (1889)",126948,2810911,MCLEAN,149,88,5,SW4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"458 Stat. 676-684, esp. 679-81 (1889)",126950,2810901,MCLEAN,149,88,5,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"459 Stat. 676-684, esp. 679-81 (1889)",126952,2810871,MCLEAN,149,88,4,SW4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"460 Stat. 676-684, esp. 679-81 (1889)",126999,2808150,MCLEAN,148,88,36,N2NE4,I,ND INDUSTRIAL SCHOOL,ND INDUSTRIAL SCHOOL,80.000000000000000,80.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"461 Stat. 676-684, esp. 679-81 (1889)",127060,2810861,MCLEAN,149,88,4,"N2SE4, SW4SE4",A,COMMON SCHOOLS,COMMON SCHOOLS,60.000000000000000,120.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"462 Stat. 676-684, esp. 679-81 (1889)",127094,2808180,MCLEAN,148,89,23,SE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,8.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"463 Stat. 676-684, esp. 679-81 (1889)",127095,2811180,MCLEAN,149,88,31,"E2SW4, LOTS 3,4",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,79.930000000000007,159.860000000000014,,N/A
ND,Commissioner of University and School Lands,Subsurface,"464 Stat. 676-684, esp. 679-81 (1889)",127099,2810750,MCLEAN,149,87,33,"SW4NW4, LOT 6",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,25.850000000000001,51.700000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"465 Stat. 676-684, esp. 679-81 (1889)",127104,2811190,MCLEAN,149,88,34,SW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"466 Stat. 676-684, esp. 679-81 (1889)",127112,2908110,MERCER,146,88,3,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,42.960000000000001,42.960000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"467 Stat. 676-684, esp. 679-81 (1889)",127155,2908130,MERCER,146,88,4,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,33.780000000000001,33.780000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"468 Stat. 676-684, esp. 679-81 (1889)",127170,2805260,MCLEAN,147,87,21,SE4,N,ND STATE UNIVERSITY,ND STATE UNIVERSITY,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"469 Stat. 676-684, esp. 679-81 (1889)",127186,2906170,MERCER,146,87,5,"S2NE4, LOTS 1,2",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,7.750000000000000,154.960000000000008,,N/A
ND,Commissioner of University and School Lands,Subsurface,"470 Stat. 676-684, esp. 679-81 (1889)",127201,2808190,MCLEAN,148,89,24,SW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,8.000000000000000,160.000000000000000,,N/A
