object_id,state,reservation_name,clipped_acres,lessee
25968,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.09,
25183,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.71,
25184,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.99,
25185,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.98,
25189,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.52,
25459,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.46,
25460,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.04,
25466,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.94,
25465,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.1,
25131,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.26,
25130,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.0,
25129,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.03,
25182,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.94,
25186,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.61,
25187,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.95,
25188,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.82,
25462,OK,Kiowa-Comanche-Apache-Fort Sill Apache,43.01,
25461,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.33,
25464,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.08,
25463,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.37,
25985,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.42,
25128,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.78,
25456,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.58,
25455,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.09,
25457,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.29,
25458,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.74,
25454,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.55,
30579,OK,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use,40.6,
30574,OK,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use,41.04,
30575,OK,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use,39.21,CADDO WIND LLC
30576,OK,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use,42.08,
