state,managing_agency,rights_type,state_enabling_act,OBJECTID,TIMBER_TRU,trust_name,state_reported_notes,,,,,,
WA,Department of Natural Resources,Timber,"124 Stat. 676-684, esp. 679-81 (1889)",374,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"125 Stat. 676-684, esp. 679-81 (1889)",375,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"126 Stat. 676-684, esp. 679-81 (1889)",472,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"127 Stat. 676-684, esp. 679-81 (1889)",497,48,Community Forest Trust,KLICKITAT CANYON FOREST,,,,,,
WA,Department of Natural Resources,Timber,"128 Stat. 676-684, esp. 679-81 (1889)",587,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"129 Stat. 676-684, esp. 679-81 (1889)",614,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"130 Stat. 676-684, esp. 679-81 (1889)",666,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"131 Stat. 676-684, esp. 679-81 (1889)",987,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"132 Stat. 676-684, esp. 679-81 (1889)",1112,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"133 Stat. 676-684, esp. 679-81 (1889)",1204,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"134 Stat. 676-684, esp. 679-81 (1889)",1241,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"135 Stat. 676-684, esp. 679-81 (1889)",1434,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"136 Stat. 676-684, esp. 679-81 (1889)",1562,5,University - Transferred,,,,,,,
WA,Department of Natural Resources,Timber,"137 Stat. 676-684, esp. 679-81 (1889)",1578,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"138 Stat. 676-684, esp. 679-81 (1889)",1634,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"139 Stat. 676-684, esp. 679-81 (1889)",1646,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"140 Stat. 676-684, esp. 679-81 (1889)",1693,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"141 Stat. 676-684, esp. 679-81 (1889)",1843,3,Common School and Indemnity,Oil & gas reserved,,,,,,
WA,Department of Natural Resources,Timber,"142 Stat. 676-684, esp. 679-81 (1889)",1844,3,Common School and Indemnity,Oil & gas deferred,,,,,,
WA,Department of Natural Resources,Timber,"143 Stat. 676-684, esp. 679-81 (1889)",1845,3,Common School and Indemnity,Oil & gas reserved,,,,,,
WA,Department of Natural Resources,Timber,"144 Stat. 676-684, esp. 679-81 (1889)",1874,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"145 Stat. 676-684, esp. 679-81 (1889)",2152,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"146 Stat. 676-684, esp. 679-81 (1889)",18115,3,Common School and Indemnity,S-KL-39,,,,,,
WA,Department of Natural Resources,Timber,"147 Stat. 676-684, esp. 679-81 (1889)",18416,3,Common School and Indemnity,S-KL-46,,,,,,
WA,Department of Natural Resources,Timber,"148 Stat. 676-684, esp. 679-81 (1889)",18418,3,Common School and Indemnity,S-KL-50,,,,,,
WA,Department of Natural Resources,Timber,"149 Stat. 676-684, esp. 679-81 (1889)",18588,3,Common School and Indemnity,S-KL-51,,,,,,
WA,Department of Natural Resources,Timber,"150 Stat. 676-684, esp. 679-81 (1889)",18593,3,Common School and Indemnity,S-KL-48,,,,,,
WA,Department of Natural Resources,Timber,"151 Stat. 676-684, esp. 679-81 (1889)",18619,3,Common School and Indemnity,S-KL-47,,,,,,
WA,Department of Natural Resources,Timber,"152 Stat. 676-684, esp. 679-81 (1889)",18642,3,Common School and Indemnity,S-KL-42,,,,,,
WA,Department of Natural Resources,Timber,"153 Stat. 676-684, esp. 679-81 (1889)",7061,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"154 Stat. 676-684, esp. 679-81 (1889)",7062,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"155 Stat. 676-684, esp. 679-81 (1889)",7198,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"156 Stat. 676-684, esp. 679-81 (1889)",7298,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"157 Stat. 676-684, esp. 679-81 (1889)",7330,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"158 Stat. 676-684, esp. 679-81 (1889)",7338,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"159 Stat. 676-684, esp. 679-81 (1889)",7472,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"160 Stat. 676-684, esp. 679-81 (1889)",7505,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"161 Stat. 676-684, esp. 679-81 (1889)",7514,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"162 Stat. 676-684, esp. 679-81 (1889)",7779,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"163 Stat. 676-684, esp. 679-81 (1889)",7822,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"164 Stat. 676-684, esp. 679-81 (1889)",8085,9,Escheat,an undivided 1/12th interest,,,,,,
WA,Department of Natural Resources,Timber,"165 Stat. 676-684, esp. 679-81 (1889)",8501,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"166 Stat. 676-684, esp. 679-81 (1889)",8763,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"167 Stat. 676-684, esp. 679-81 (1889)",9132,3,Common School and Indemnity,S-KL-57,,,,,,
WA,Department of Natural Resources,Timber,"168 Stat. 676-684, esp. 679-81 (1889)",9321,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"169 Stat. 676-684, esp. 679-81 (1889)",9475,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"170 Stat. 676-684, esp. 679-81 (1889)",9491,3,Common School and Indemnity,S-KL-56,,,,,,
WA,Department of Natural Resources,Timber,"171 Stat. 676-684, esp. 679-81 (1889)",9542,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"172 Stat. 676-684, esp. 679-81 (1889)",9613,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"173 Stat. 676-684, esp. 679-81 (1889)",9617,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"174 Stat. 676-684, esp. 679-81 (1889)",9824,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"175 Stat. 676-684, esp. 679-81 (1889)",10151,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"176 Stat. 676-684, esp. 679-81 (1889)",10153,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"177 Stat. 676-684, esp. 679-81 (1889)",10342,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"178 Stat. 676-684, esp. 679-81 (1889)",10343,3,Common School and Indemnity,Oil & gas reserved,,,,,,
WA,Department of Natural Resources,Timber,"179 Stat. 676-684, esp. 679-81 (1889)",10405,9,Escheat,,,,,,,
WA,Department of Natural Resources,Timber,"180 Stat. 676-684, esp. 679-81 (1889)",10411,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"181 Stat. 676-684, esp. 679-81 (1889)",10561,3,Common School and Indemnity,Oil & gas reserved,,,,,,
WA,Department of Natural Resources,Timber,"182 Stat. 676-684, esp. 679-81 (1889)",10562,3,Common School and Indemnity,Oil & gas reserved,,,,,,
WA,Department of Natural Resources,Timber,"183 Stat. 676-684, esp. 679-81 (1889)",10563,3,Common School and Indemnity,Oil & gas reserved,,,,,,
WA,Department of Natural Resources,Timber,"184 Stat. 676-684, esp. 679-81 (1889)",11094,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"185 Stat. 676-684, esp. 679-81 (1889)",11301,5,University - Transferred,,,,,,,
WA,Department of Natural Resources,Timber,"186 Stat. 676-684, esp. 679-81 (1889)",11302,5,University - Transferred,,,,,,,
WA,Department of Natural Resources,Timber,"187 Stat. 676-684, esp. 679-81 (1889)",11304,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"188 Stat. 676-684, esp. 679-81 (1889)",11306,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"189 Stat. 676-684, esp. 679-81 (1889)",11315,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"190 Stat. 676-684, esp. 679-81 (1889)",11385,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"191 Stat. 676-684, esp. 679-81 (1889)",11624,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"192 Stat. 676-684, esp. 679-81 (1889)",11697,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"193 Stat. 676-684, esp. 679-81 (1889)",11730,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"194 Stat. 676-684, esp. 679-81 (1889)",11808,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"195 Stat. 676-684, esp. 679-81 (1889)",11904,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"196 Stat. 676-684, esp. 679-81 (1889)",11907,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"197 Stat. 676-684, esp. 679-81 (1889)",11965,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"198 Stat. 676-684, esp. 679-81 (1889)",11995,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"199 Stat. 676-684, esp. 679-81 (1889)",12256,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"200 Stat. 676-684, esp. 679-81 (1889)",12258,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"201 Stat. 676-684, esp. 679-81 (1889)",12490,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"202 Stat. 676-684, esp. 679-81 (1889)",12497,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"203 Stat. 676-684, esp. 679-81 (1889)",12498,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"204 Stat. 676-684, esp. 679-81 (1889)",12572,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"205 Stat. 676-684, esp. 679-81 (1889)",12577,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"206 Stat. 676-684, esp. 679-81 (1889)",12773,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"207 Stat. 676-684, esp. 679-81 (1889)",12778,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"208 Stat. 676-684, esp. 679-81 (1889)",12877,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"209 Stat. 676-684, esp. 679-81 (1889)",12878,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"210 Stat. 676-684, esp. 679-81 (1889)",12879,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"211 Stat. 676-684, esp. 679-81 (1889)",12880,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"212 Stat. 676-684, esp. 679-81 (1889)",12881,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"213 Stat. 676-684, esp. 679-81 (1889)",12882,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"214 Stat. 676-684, esp. 679-81 (1889)",12883,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"215 Stat. 676-684, esp. 679-81 (1889)",12888,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"216 Stat. 676-684, esp. 679-81 (1889)",13074,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"217 Stat. 676-684, esp. 679-81 (1889)",14418,48,Community Forest Trust,KLICKITAT CANYON FOREST,,,,,,
WA,Department of Natural Resources,Timber,"218 Stat. 676-684, esp. 679-81 (1889)",14636,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"219 Stat. 676-684, esp. 679-81 (1889)",14637,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"220 Stat. 676-684, esp. 679-81 (1889)",14638,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"221 Stat. 676-684, esp. 679-81 (1889)",14688,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"222 Stat. 676-684, esp. 679-81 (1889)",15103,9,Escheat,,,,,,,
WA,Department of Natural Resources,Timber,"223 Stat. 676-684, esp. 679-81 (1889)",15268,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"224 Stat. 676-684, esp. 679-81 (1889)",15273,3,Common School and Indemnity,,,,,,,
