OBJECTID,PARCEL_SYS,PARCEL_TYP,PARCEL_LAB,PARCEL_NM,REVERSION_,OWN_RIGHT_,SURFACE_RI,MINERAL_RI,TIMBER_RIG,SURFACE_TR,MINERAL_TR,TIMBER_TRU,OWNER_AGEN,STEWARD_AG,MANAGER_AG,TIMBER_OWN,TIMBER_EXP,ORIGINAL_P,COUNTY_JUR,COUNTY_PAR,REGION_JUR,HCP_JURISD,HCP_DESG_C,HCP_DESG_D,HCP_WITHDR,PARCEL_DES,EDIT_DATE,EDIT_STATU,EDIT_WHO,EASEMENT_T,PARCEL_ACQ,PARCEL_DIS,SHAPE.AREA,SHAPE.LEN
884,3137,1,,,N,N,N,Y,N,"0","10","0",58706,63986,63986,,,,20,,100,,"2",,1997/01/30 03:00:00.000,,2015/07/23 14:12:35.000,"1",JDUG490,,CLEAR LIST 5 SCIENTIFIC,,1773245.362587500130758,5328.652343394870513
987,10502,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-87-0005,,27458714.572767000645399,20988.529480736600817
1112,10547,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,CLEAR LIST 6 CEP&RI,,17746050.221370000392199,18654.169629332500335
1171,112841,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"0",jdug490,,CLEAR LIST 144 INDEMNITY,,7867735.884420000016689,14814.212853577300848
1204,10557,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,26584338.316399998962879,20629.465449311199336
1241,3140,1,,,N,N,Y,Y,Y,"10","3","10",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-70-0084,,1772115.496000000042841,5325.814248740739458
1434,2929,1,,,N,N,Y,Y,Y,"1","1","1",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2018/03/14 20:26:50.000,"1",TSTE490,,,,1743573.695582000073045,5282.961425945940391
1562,10522,1,,,N,N,Y,Y,Y,"5","5","5",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,CLEAR LIST 6 CEP&RI,,27679911.449999999254942,21082.575919583297946
1578,113784,1,,,N,N,Y,Y,Y,"75","75","75",58706,63986,63986,,,,39,,100,,"1",2009/10/27 03:00:00.000,,,2011/06/29 03:00:00.000,"0",jdug490,,08-084332,,3504607.499700000043958,7915.035963421761153
1646,10487,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,86-000166,,3499607.869520000182092,7987.390752878271087
1693,10576,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,27613207.343770004808903,20985.358808221000800
1843,111356,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,Oil & gas reserved,2014/03/25 12:26:14.000,"0",JDUG490,,86-074975,,35470575.123630002140999,24024.479143378899607
1844,111358,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",2005/05/04 03:00:00.000,,Oil & gas deferred,2014/03/25 12:26:14.000,"0",JDUG490,,86-074975,,27859803.309859000146389,21122.334803017900413
1845,111360,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",2005/05/04 03:00:00.000,,Oil & gas reserved,2014/03/25 12:26:14.000,"0",JDUG490,,86-074975,,5049.621301500000300,368.204788491231000
1874,10489,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,Warranty Deed,,3680505.553834999911487,8027.887263203620023
2152,10563,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,3227495.657205000054091,11788.392351331798636
18112,112820,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",1997/01/30 03:00:00.000,2008/02/22 03:00:00.000,,2012/09/07 23:05:29.000,"0",CADASTRE_GDB,,,,5065172.328999999910593,15210.863926954500130
18268,112837,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",1997/01/30 03:00:00.000,2008/02/22 03:00:00.000,,2022/06/29 19:46:01.000,"0",TSTE490,,US PATENT NO 46-70-0085,,7612169.595281999558210,14808.985303581899643
18443,112824,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",1997/01/30 03:00:00.000,2008/02/22 03:00:00.000,,2012/09/07 23:05:29.000,"0",CADASTRE_GDB,,,,6082712.217354499734938,14841.927200930000254
18481,112822,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",1997/01/30 03:00:00.000,2008/02/22 03:00:00.000,,2012/09/07 23:05:29.000,"0",CADASTRE_GDB,,,,9397631.167984999716282,13925.005520709899429
18512,112821,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",1997/01/30 03:00:00.000,2008/02/22 03:00:00.000,,2012/09/07 23:05:29.000,"0",CADASTRE_GDB,,US PATENT NO 46-70-0085,,21497222.272865496575832,18127.478377772902604
18523,112825,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",1997/01/30 03:00:00.000,2008/02/22 03:00:00.000,,2012/09/07 23:05:29.000,"0",CADASTRE_GDB,,,,1674379.813850000035018,5177.062944855349997
18572,112834,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",1997/01/30 03:00:00.000,2008/02/22 03:00:00.000,,2012/09/07 23:05:29.000,"0",CADASTRE_GDB,,,,3689639.161069999914616,8605.138649521730258
7061,3045,1,,,N,N,Y,Y,Y,"8","8","8",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,86-000166,,28979664.907949998974800,21526.303535758397629
7062,2955,1,,,N,N,Y,Y,Y,"1","1","1",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,86-000166,,3715618.763234999962151,8113.262058386950230
7198,10623,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,CLEAR LIST 21 INDEMNITY,,11731816.585625000298023,17346.921523489501851
7298,3034,1,,,N,N,Y,Y,Y,"10","10","10",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2015/07/22 20:37:14.000,"1",JDUG490,,CLEAR LIST 5 SCIENTIFIC 86-091402,,14450453.591104999184608,16149.505499703001988
7330,10553,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,7494538.855360000394285,10947.329836258099022
7505,10560,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,23274689.983600001782179,19270.811924184599775
7514,10584,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,,,14875025.265460500493646,18109.780647668700112
7726,3038,1,,,N,N,N,Y,N,"0","10","0",58706,63986,63986,,,,20,,100,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,CLEAR LIST 5 SCIENTIFIC,,5282319.228164999745786,10615.324161584099784
7779,10556,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,US PATENT NO 46-87-0008,,370732.339450000028592,2927.599904375170354
7822,3043,1,,,N,N,Y,Y,Y,"8","8","8",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2011/06/29 03:00:00.000,"1",jdug490,,CLEAR LIST 4 NORMAL SCHOOL,,26595099.795949999243021,26749.443117983606498
8009,3054,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,20,,100,,"2",,1997/01/30 03:00:00.000,,2022/05/11 19:39:36.000,"1",TSTE490,,US PATENT NO 46-70-0084,,17778740.094875998795033,18682.929489814003318
8073,14283,1,,,N,N,N,Y,N,"0","9","0",58706,63986,63986,,,,39,,100,,"2",,1997/01/30 03:00:00.000,,2011/06/29 03:00:00.000,"1",jdug490,,,,2629401.772119999863207,6646.891647947740239
8085,10579,1,,,N,Y,Y,Y,Y,"9","9","9",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,an undivided 1/12th interest,2022/05/11 19:39:36.000,"1",TSTE490,,,,6985063.029968500137329,10571.779724339199674
