state,managing_agency,rights_type,state_enabling_act,OBJECTID,MINERAL_TR,,state_reported_notes,,
WA,Department of Natural Resources,Subsurface,"208 Stat. 676-684, esp. 679-81 (1889)",12577,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"209 Stat. 676-684, esp. 679-81 (1889)",12773,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"210 Stat. 676-684, esp. 679-81 (1889)",12778,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"211 Stat. 676-684, esp. 679-81 (1889)",12877,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"212 Stat. 676-684, esp. 679-81 (1889)",12878,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"213 Stat. 676-684, esp. 679-81 (1889)",12879,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"214 Stat. 676-684, esp. 679-81 (1889)",12880,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"215 Stat. 676-684, esp. 679-81 (1889)",12881,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"216 Stat. 676-684, esp. 679-81 (1889)",12882,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"217 Stat. 676-684, esp. 679-81 (1889)",12883,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"218 Stat. 676-684, esp. 679-81 (1889)",13206,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"219 Stat. 676-684, esp. 679-81 (1889)",14636,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"220 Stat. 676-684, esp. 679-81 (1889)",14637,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"221 Stat. 676-684, esp. 679-81 (1889)",14638,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"222 Stat. 676-684, esp. 679-81 (1889)",14688,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"223 Stat. 676-684, esp. 679-81 (1889)",15103,9,Escheat,,,
WA,Department of Natural Resources,Subsurface,"224 Stat. 676-684, esp. 679-81 (1889)",15268,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"225 Stat. 676-684, esp. 679-81 (1889)",15273,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"226 Stat. 676-684, esp. 679-81 (1889)",15761,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"227 Stat. 676-684, esp. 679-81 (1889)",15763,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"228 Stat. 676-684, esp. 679-81 (1889)",15775,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"229 Stat. 676-684, esp. 679-81 (1889)",16569,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"230 Stat. 676-684, esp. 679-81 (1889)",16570,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"231 Stat. 676-684, esp. 679-81 (1889)",16575,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"232 Stat. 676-684, esp. 679-81 (1889)",16577,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"233 Stat. 676-684, esp. 679-81 (1889)",16578,8,Normal School,,,
