SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,ADMINISTRA,ADMINIST_1,MGTPRGPRJ,MGTPRJNAME,MGTPRGCODE,MGTPRGNAME,ADMPRGPRJA,DNRTRNXNUM,T_CLOSINGD,SU_CTYPIN_,DATA_DOWNL,Shape_Leng,Shape_Area
137368.00000000000,"137368",137368.00000000000,Northeast,Koochiching,"36","65","0","23","19","13","8","36065023190008","3606502319",SWNE,forty/glot-level,20.84000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",,,,,,,,,11-15-2023,1222.21352203000,84083.93816780002
137379.00000000000,"137379",137379.00000000000,Northeast,Koochiching,"36","65","0","23","19","42","9","36065023190009","3606502319",NWSE,forty/glot-level,20.06000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",,,,,,,,,11-15-2023,1205.89280323000,80791.35621329999
137478.00000000000,"137478",137478.00000000000,Northeast,Koochiching,"36","65","0","23","30","13","8","36065023300008","3606502330",SWNE,forty/glot-level,18.20000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1162.75602917000,72764.10161550000
137488.00000000000,"137488",137488.00000000000,Northeast,Koochiching,"36","65","0","23","30","42","9","36065023300009","3606502330",NWSE,forty/glot-level,17.74000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1154.31149649000,71069.72869459999
137489.00000000000,"137489",137489.00000000000,Northeast,Koochiching,"36","65","0","23","30","43","12","36065023300012","3606502330",SWSE,forty/glot-level,17.27000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",,,,,,,,,11-15-2023,1145.78519318000,69367.85600150000
137490.00000000000,"137490",137490.00000000000,Northeast,Koochiching,"36","65","0","23","31","12","7","36065023310007","3606502331",NWNE,forty/glot-level,16.76000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",,,,,,,,,11-15-2023,1146.27173455000,68255.18100460000
137018.00000000000,"137018",137018.00000000000,Northeast,Koochiching,"36","64","0","23","25","13","7","36064023250007","3606402325",SWNE,forty/glot-level,25.98000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1304.95160371000,101153.79064599999
137020.00000000000,"137020",137020.00000000000,Northeast,Koochiching,"36","64","0","23","25","23","5","36064023250005","3606402325",SWNW,forty/glot-level,26.75000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1326.00304851000,105323.32702500001
137021.00000000000,"137021",137021.00000000000,Northeast,Koochiching,"36","64","0","23","25","24","6","36064023250006","3606402325",SENW,forty/glot-level,26.36000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1315.68633090000,103264.87175700000
137023.00000000000,"137023",137023.00000000000,Northeast,Koochiching,"36","64","0","23","26","13","8","36064023260008","3606402326",SWNE,forty/glot-level,23.34000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1237.11622624000,91816.87700240000
