OBJECTID,SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,SU_NETACRE,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,OMITTYPES,PRINTACRES,MOWNSTATUS,MOWNSTAT_1,LANDCLASS,MRECTYPE,MRECTYPECO,SURFACEOFF,LAST_OFFER,LAST_PROCE,LAST_PRO_1,DATA_DOWNL,Shape_Leng,Shape_Area
"217841",199844.00000000000,"199844",199844.00000000000,Northwest,Mahnomen,"44","143","0","39","8","41","0","44143039084100","4414303908",NESE,forty/glot-level,40.00000000000,"0","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Uncertain,U,,,,,,,"0",01-15-2024,1611.52635857000,162309.25753900001
"217844",199846.00000000000,"199846",199846.00000000000,Northwest,Mahnomen,"44","143","0","39","9","12","0","44143039091200","4414303909",NWNE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1598.32232909000,159660.08587499999
"217846",199848.00000000000,"199848",199848.00000000000,Northwest,Mahnomen,"44","143","0","39","9","21","0","44143039092100","4414303909",NENW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1596.82568271000,159363.17501199999
"217848",199850.00000000000,"199850",199850.00000000000,Northwest,Mahnomen,"44","143","0","39","9","32","0","44143039093200","4414303909",NWSW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1614.97630187000,163008.75919099999
"217849",199851.00000000000,"199851",199851.00000000000,Northwest,Mahnomen,"44","143","0","39","9","34","0","44143039093400","4414303909",SESW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1615.77118237000,163167.93208999999
"217852",199854.00000000000,"199854",199854.00000000000,Northwest,Mahnomen,"44","143","0","39","9","43","0","44143039094300","4414303909",SWSE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1613.39431174000,162684.74137800001
"217853",199855.00000000000,"199855",199855.00000000000,Northwest,Mahnomen,"44","143","0","39","9","44","0","44143039094400","4414303909",SESE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1610.97154041000,162189.92674200001
"217860",200311.00000000000,"200311",200311.00000000000,Northwest,Mahnomen,"44","146","0","39","33","11","0","44146039331100","4414603933",NENE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1620.21192420000,164053.08693500000
"217861",200312.00000000000,"200312",200312.00000000000,Northwest,Mahnomen,"44","146","0","39","33","12","0","44146039331200","4414603933",NWNE,forty/glot-level,40.00000000000,"0","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1625.96203084000,165220.65663600000
"217862",200313.00000000000,"200313",200313.00000000000,Northwest,Mahnomen,"44","146","0","39","33","13","0","44146039331300","4414603933",SWNE,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1626.90634022000,165422.77017199999
