state,managing_agency,rights_type,state_enabling_act,SU_SUID,county,township,RDIR,RANG,section,aliquot,acres,percent_owned,trust_name
MN,Department of Natural Resources,Surface,3646 Stat. 166-167 (1857); 11 Stat. 285 (1858),123134,Itasca,147,0,28,32,NWSW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3647 Stat. 166-167 (1857); 11 Stat. 285 (1858),123135,Itasca,147,0,28,32,SESW,35,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3648 Stat. 166-167 (1857); 11 Stat. 285 (1858),123136,Itasca,147,0,28,32,NWSE,54.5,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3649 Stat. 166-167 (1857); 11 Stat. 285 (1858),123137,Itasca,147,0,28,32,SWSE,24,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3650 Stat. 166-167 (1857); 11 Stat. 285 (1858),123138,Itasca,147,0,28,33,NENW,2.7,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3651 Stat. 166-167 (1857); 11 Stat. 285 (1858),123139,Itasca,147,0,28,33,NWNW,21,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3652 Stat. 166-167 (1857); 11 Stat. 285 (1858),123140,Itasca,148,0,28,1,NENE,44.75,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3653 Stat. 166-167 (1857); 11 Stat. 285 (1858),123141,Itasca,148,0,28,1,NWNW,43.25,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3654 Stat. 166-167 (1857); 11 Stat. 285 (1858),121612,Itasca,55,0,27,3,NWSW,28.2,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3655 Stat. 166-167 (1857); 11 Stat. 285 (1858),121613,Itasca,55,0,27,3,SWSW,11.45,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3656 Stat. 166-167 (1857); 11 Stat. 285 (1858),121614,Itasca,55,0,27,4,SENE,58.78,100,TRUST FUND: SWAMP
