state,managing_agency,rights_type,state_enabling_act,objectid,township,range,section,county,bene_cd,bene_abrev,aliquot,acres
UT,Trust Lands Administration,Surface,150 Stat. 107-110 (1894),291702,11,23,2,Uintah,10,SCH,"LOTS 1(18.11), 2(18.17), 3(18.23), 4(18.29), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(38.60), 10(32.81), SW4NE4, S2NW4, SW4, W2SE4, SE4SE4 [ALL]",704.210000000000036
UT,Trust Lands Administration,Surface,151 Stat. 107-110 (1894),291722,1,10,11,Wasatch,10,SCH,"S2NW4, S2",400.000000000000000
UT,Trust Lands Administration,Surface,152 Stat. 107-110 (1894),291737,7,23,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,153 Stat. 107-110 (1894),291745,9,23,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,154 Stat. 107-110 (1894),291752,1,10,22,Wasatch,10,SCH,"N2, SE4",480.000000000000000
UT,Trust Lands Administration,Surface,155 Stat. 107-110 (1894),291776,16,21,4,Grand,10,SCH,E2,321.519999999999982
UT,Trust Lands Administration,Surface,156 Stat. 107-110 (1894),291779,15,22,31,Grand,10,SCH,LOT 1 (SE4NE4),34.259999999999998
UT,Trust Lands Administration,Surface,157 Stat. 107-110 (1894),291793,15,24,2,Uintah,10,SCH,"LOTS 1(40.65), 2(40.57), 3(40.51), 4(40.43), S2N2, S2 [ALL]",642.159999999999968
UT,Trust Lands Administration,Surface,158 Stat. 107-110 (1894),291811,12,25,18,Uintah,10,SCH,SE4,160.000000000000000
UT,Trust Lands Administration,Surface,159 Stat. 107-110 (1894),291830,6,21,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,160 Stat. 107-110 (1894),291836,11,25,36,Uintah,10,SCH,"LOTS 1(16.26), 2(40.00), 3(40.00), 4(40.00), 5(40.00), 6(40.00), 7(40.00), 8(15.78), 9(15.65), 10(40.00), 11(40.00), 12(40.00), 13(40.00), 14(40.00), 15(40.00), 16(15.71), W2 [ALL]",863.399999999999977
UT,Trust Lands Administration,Surface,161 Stat. 107-110 (1894),291846,9,25,14,Uintah,10,SCH,N2,320.000000000000000
UT,Trust Lands Administration,Surface,162 Stat. 107-110 (1894),291850,9,21,31,Uintah,10,SCH,LOT 5 (S2SW4SW4),14.520000000000000
UT,Trust Lands Administration,Surface,163 Stat. 107-110 (1894),291863,10,22,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,164 Stat. 107-110 (1894),291889,1,9,30,Wasatch,10,SCH,"LOTS 1-4, E2, E2W2 (ALL)",629.279999999999973
UT,Trust Lands Administration,Surface,165 Stat. 107-110 (1894),291892,13,23,10,Uintah,10,SCH,"NE4NE4SE4SE4	",2.500000000000000
UT,Trust Lands Administration,Surface,166 Stat. 107-110 (1894),291898,1,9,32,Wasatch,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,167 Stat. 107-110 (1894),291903,9,21,32,Uintah,10,SCH,"LOTS 2(46.78), 3(47.62), 4(48.48), N2, N2S2 [LOTS AKA S2SW4, SW4SE4]",668.799999999999955
UT,Trust Lands Administration,Surface,168 Stat. 107-110 (1894),291947,14,25,16,Uintah,10,SCH,ALL,640.000000000000000
